"item_key","sequence","section","question_zh","question_en","answer_zh","answer_en","scripture_reference","parent_note"
"first_catechism_q001","1","","谁造了你？","Who made you?","神。","God.","",""
"first_catechism_q002","2","","神还造了什么？","What else did God make?","万物都是神造的。","God made all things.","",""
"first_catechism_q003","3","","为什么神造你和世上万物？","Why did God make you and all things?","为了他自己的荣耀。","For his own glory.","",""
"first_catechism_q004","4","","你怎么才能荣耀神？","How can you glorify God?","爱他并遵行他的命令。","By loving him and doing what he commands.","",""
"first_catechism_q005","5","","为什么你要荣耀神？","Why are you to glorify God?","因为他造我并看顾我。","Because he made me and takes care of me.","",""
"first_catechism_q006","6","","除了这位神外还有其它神吗？","Are there more gods than one?","只有独一真神。","There is only one true God.","",""
"first_catechism_q007","7","","独一真神有几个位格？","How many persons is this one true God?","三个位格。","Three.","",""
"first_catechism_q008","8","","哪三个位格？","Name these three persons.","圣父、圣子、圣灵。","The Father, the Son, and the Holy Spirit.","",""
"first_catechism_q009","9","","神是什么？","What is God?","神是个灵，不像我们有身体，他没有身体。","God is a Spirit and has no body as we do.","",""
"first_catechism_q010","10","","神在哪里？","Where is God?","神无处不在。","God is everywhere.","",""
"first_catechism_q011","11","","你可以看见神吗？","Can you see God?","不--我看不见神，但他任何时间都能看见我。","No – I cannot see God, but he can always see me.","",""
"first_catechism_q012","12","","神无所不知吗？","Does God know all things?","是的--没有一件可以隐瞒过神的。","Yes – nothing can be hidden from God.","",""
"first_catechism_q013","13","","神无所不能吗？","Can God do all things?","是的--神能够做任何符合他圣洁旨意的事。","Yes – God can do all his holy will.","",""
"first_catechism_q014","14","","你从哪里学习爱神和顺服神？","Where do you learn how to love and obey God?","唯有从圣经里。","In the Bible alone.","",""
"first_catechism_q015","15","","圣经的作者是谁？","Who wrote the Bible?","神拣选的人在圣灵的默示下写成。","Chosen men who wrote by the inspiration of the Holy Spirit.","",""
"first_catechism_q016","16","","人类的始祖是谁？","Who were our first parents?","亚当和夏娃。","Adam and Eve.","",""
"first_catechism_q017","17","","神怎样造出人类的始祖？","How did God make our first parents?","神用泥土造了亚当的身体，用亚当的肋骨造了夏娃的身体。","God made Adam’s body out of the ground, and Eve’s body out of a rib from Adam.","",""
"first_catechism_q018","18","","除了身体之外，神还给了亚当和夏娃什么？","What did God give Adam and Eve besides bodies?","他还给了他们不会灭亡的灵魂。","He gave them spirits that will last forever.","",""
"first_catechism_q019","19","","你除了身体之外也有灵魂吗？","Do you have a spirit as well as a body?","是--我的灵魂是不会灭亡的。","Yes – and my spirit is going to last forever.","",""
"first_catechism_q020","20","","你怎么知道你的灵魂是不会灭亡的？","How do you know your spirit will last forever?","因为圣经这样告诉我。","Because the Bible tells me so.","",""
"first_catechism_q021","21","","亚当夏娃在神造他们之初是怎样的状况？","In what condition did God make Adam and Eve?","神造他们圣洁、幸福。","He made them holy and happy.","",""
"first_catechism_q022","22","","圣约是什么？","What is a sacred covenant?","是神所设立的我们与神的关系，并由神的话所保证。","A relationship that God sets up with us and guarantees by his word.","",""
"first_catechism_q023","23","","神与亚当立的约是什么约？","What covenant did God make with Adam?","是生命之约。","The covenant of life.","",""
"first_catechism_q024","24","","在生命之约中神要求亚当做什么？","What did God require Adam to do in the covenant of life?","完全的顺服神。","To obey him perfectly.","",""
"first_catechism_q025","25","","在生命之约中神的应许是什么？","What did God promise in the covenant of life?","如果亚当顺服神将得到永生为奖赏。","To reward Adam with life if he obeyed him.","",""
"first_catechism_q026","26","","在生命之约中神告诫亚当什么？","What did God threaten in the covenant of life?","如果亚当不顺服神他必定死。","To punish Adam with death if he disobeyed him.","",""
"first_catechism_q027","27","","亚当守住了生命之约吗？","Did Adam keep the covenant of life?","没有--他犯罪背叛神。","No – he sinned against God.","",""
"first_catechism_q028","28","","什么是罪？","What is sin?","任何主动地违反神的命令、或轻视忽略神的命令的思想、言语、行为。","Any thought, word or deed that breaks God’s law by omission or commission.","",""
"first_catechism_q029","29","","什么是轻视忽略的罪？","What is a sin of omission?","不做神要求我们做的。","Not being or doing what God requires.","",""
"first_catechism_q030","30","","什么是主动地犯罪？","What is a sin of commission?","做神禁止我们做的。","doing what God forbids.","",""
"first_catechism_q031","31","","罪的后果是什么？","What does every sin deserve?","神的咒诅和惩罚。","The wrath and curse of God.","",""
"first_catechism_q032","32","","我们的始祖犯了什么罪？","What was the sin of our first parents?","吃了禁果。","Eating the forbidden fruit.","",""
"first_catechism_q033","33","","谁引诱他们犯罪？","Who tempted them to this sin?","撒旦，先引诱夏娃，然后又利用夏娃引诱亚当。","Satan tempted Eve first, and then he used her to tempt Adam.","",""
"first_catechism_q034","34","","当亚当和夏娃犯罪以后，他们有了什么改变？","How did Adam and Eve change when they sinned?","他们不再是圣洁的和快乐的，他们变成是有罪的，悲惨和痛苦的。","Instead of being holy and happy, they became sinful and miserable.","",""
"first_catechism_q035","35","","在生命之约里，亚当只代表他自己吗？","Did Adam act for himself alone in the covenant of life?","不，他代表全人类。","No – he represented the whole human race.","",""
"first_catechism_q036","36","","亚当的罪对你有什么影响？","What did Adam’s sin do to you?","它使我成为罪人并犯罪。","It made me guilty and sinful.","",""
"first_catechism_q037","37","","你生来是个怎样的罪人？","How sinful are you by nature?","在我生命的每个层面都堕落了。","I am corrupt in every part of my being.","",""
"first_catechism_q038","38","","带着这样以生具来的罪性你能进天堂吗？","Can you go to heaven with this sinful nature?","不能--我的心必须先被改变，我才配得进天堂。","No – my heart must be changed before I can be fit for heaven.","",""
"first_catechism_q039","39","","你的心被改变的过程称为什么？","What is the changing of your heart called?","重生。","The new birth, or regeneration.","",""
"first_catechism_q040","40","","谁能改变你的心呢？","Who is able to change your heart?","只有圣灵能改变我的心。","The Holy Spirit alone.","",""
"first_catechism_q041","41","","生命之约能使你得救吗？","Can you be saved through the covenant of life?","不能--因为我违背了它并被它定罪。","No – because I broke it and am condemned by it.","",""
"first_catechism_q042","42","","你怎么违背了生命之约？","How did you break the covenant of life?","亚当代表我，在他的原罪中，我跟他一起堕落了。","Adam represented me, and so I fell with him in his first sin.","",""
"first_catechism_q043","43","","那么，你怎样才能得救呢？","How, then, can you be saved?","通过主耶稣的恩典之约。","By the Lord Jesus Christ in the covenant of grace.","",""
"first_catechism_q044","44","","耶稣在恩典之约中代表哪些人？","Who was represented by Jesus in the covenant of grace?","代表蒙他拣选的人。","His elect people.","",""
"first_catechism_q045","45","","耶稣怎样完成了恩典之约？","How did Jesus fulfill the covenant of grace?","为了属他的人，他完全遵循神的律法，并替他们担当了他们所有的罪。","He kept the whole law for his people, and then was punished for all their sins","",""
"first_catechism_q046","46","","耶稣犯过罪吗？","Did Jesus ever sin?","没有--他的一生是完全无罪的。","No – he lived a sinless life.","",""
"first_catechism_q047","47","","神的儿子怎么会受苦？","How could the Son of God suffer?","神的儿子成为人是为了顺服和受苦。","The Son of God became a man so that he could obey and suffer.","",""
"first_catechism_q048","48","","基督为了谁顺服和受苦？","For whom did Christ obey and suffer?","为了所有父神赐给他的人。","For all who were given to him by the Father.","",""
"first_catechism_q049","49","","基督在世上过的是什么样的生活？","What kind of life did Christ live on earth?","贫穷和苦难的生活。","A life of poverty and suffering.","",""
"first_catechism_q050","50","","耶稣是怎样死的？","What kind of death did Jesus die?","痛苦和羞辱的十字架死刑。","The painful and shameful death of the cross.","",""
"first_catechism_q051","51","","救赎是什么意思？","What is meant by the atonement?","基督代替罪人接受神的审判而受苦和受死。","Christ satisfied God’s justice by his suffering and death in the place of sinners.","",""
"first_catechism_q052","52","","在恩典之约中父神应许了什么？","What did God the Father guarantee in the covenant of grace?","所有由基督代死的人，神称他们为义，使他们成圣。","To justify and sanctify all those for whom Christ died.","",""
"first_catechism_q053","53","","神怎样称你为义？","How can God justify you?","他赦免我所有的罪，并宣告我为义。","By forgiving all my sins and declaring me righteous.","",""
"first_catechism_q054","54","","神怎样使你成圣？","How can God sanctify you?","他改变我，使我从内心到行为都圣洁。","By making me holy in heart and conduct.","",""
"first_catechism_q055","55","","你必须做什么才会得救？","What must you do to be saved?","我必须认罪悔改，相信基督并活出新生命。","I must repent of my sins, believe in Christ and live a new life.","",""
"first_catechism_q056","56","","怎样认罪悔改？","How do you repent of your sins?","对我的罪后悔以至于恨恶和弃绝罪。","By being sorry enough for my sin to hate it and forsake it.","",""
"first_catechism_q057","57","","为什么你一定要恨恶和弃绝罪？","Why must you hate and forsake your sin?","因为神不喜悦罪。","Because it displeases God.","",""
"first_catechism_q058","58","","你怎样相信基督？","What does it mean to believe in Christ?","接受他为我唯一的救主。","To trust in him alone for my salvation.","",""
"first_catechism_q059","59","","靠你自己你能够悔改并相信吗？","Can you repent and believe by your own power?","不--如果没有圣灵的帮助我不能行出任何良善。","No – I cannot do anything good unless the Holy Spirit enables me.","",""
"first_catechism_q060","60","","你怎样得到圣灵的帮助？","How can you get the help of the Holy Spirit?","神赐圣灵给那些祈求他的人。","God will give the Holy Spirit to those who ask him.","",""
"first_catechism_q061","61","","基督什么时候死的？","How long ago did Christ die?","大约两千年以前。","About two thousand years.","",""
"first_catechism_q062","62","","在基督之前的罪人怎么得救呢？","How were sinners saved before Christ came?","相信救主弥赛亚要来。","By believing in a messiah to come.","",""
"first_catechism_q063","63","","他们怎样表明他们的信心？","How did they show their faith?","献神所要求的祭。","By offering the sacrifices God required.","",""
"first_catechism_q064","64","","这些祭代表什么？","What did these sacrifices represent?","预表基督、神的羔羊，将要来为罪人死。","Christ, the Lamb of God, who would come to die for sinners.","",""
"first_catechism_q065","65","","主耶稣作为神所应许的弥赛亚，他履行了几样职份？","How many offices did the Lord Jesus fulfill as the promised Messiah?","他履行了三个职份。","He fulfilled three offices.","",""
"first_catechism_q066","66","","哪三个职份？","What are they?","先知、祭司和君王。","The offices of prophet, priest, and king.","",""
"first_catechism_q067","67","","基督怎样作你的先知？","How is Christ your prophet?","他教导我神的旨意。","He teaches me the will of God.","",""
"first_catechism_q068","68","","基督怎样作你的祭司？","How is Christ your priest?","他为我的罪而死，并为我祈祷。","He died for my sins, and prays for me.","",""
"first_catechism_q069","69","","基督怎样作你的君王？","How is Christ your king?","他统管我并保护我。","He rules over me and defends me.","",""
"first_catechism_q070","70","","为什么你需要基督作你的先知？","Why do you need Christ as your prophet?","因为我天生是无知的。","Because I am ignorant by nature.","",""
"first_catechism_q071","71","","为什么你需要基督作你的祭司？","Why do you need Christ as your priest?","因为我违背神的律法，是罪人。","Because I am guilty of breaking God’s law.","",""
"first_catechism_q072","72","","为什么你需要基督作你的君王？","Why do you need Christ as your king?","因为我软弱无助。","Because I am weak and helpless.","",""
"first_catechism_q073","73","","神在石板上写了几条诫命？","How many commandments did God write down on the stone tablets?","十条诫命。","Ten commandments.","",""
"first_catechism_q074","74","","前四条诫命教导你什么？","What do the first four commandments teach you?","什么是爱神和服事神。","What it means to love and serve God.","",""
"first_catechism_q075","75","","后六条诫命教导你什么？","What do the last six commandments teach you?","什么是爱邻舍和服事邻舍。","What it means to love and serve my neighbor.","",""
"first_catechism_q076","76","","十诫的总纲是什么？","What is the sum of the Ten Commandments?","尽心尽力爱神，并爱邻舍如己。","To love God with all my heart, and my neighbor as myself.","",""
"first_catechism_q077","77","","谁是你的邻舍？","Who is your neighbor?","所有人都是我的邻舍。","Everybody is my neighbor.","",""
"first_catechism_q078","78","","神是否因你爱他和顺服他而喜悦？","Is God pleased if you love and obey him?","是的--他爱那些爱他的人。","Yes – he loves those who love him.","",""
"first_catechism_q079","79","","神是否不喜悦那些拒绝爱他和顺服他的人？","Is God displeased with those who refuse to love and obey him?","是的--神因为这些邪恶而愤怒。","Yes – God is angry with the wicked every day.","",""
"first_catechism_q080","80","","第一条诫命是什么？","What is the first commandment?","“除了我以外，你不可有别的神。”","“You shall have no other gods before me.”","",""
"first_catechism_q081","81","","第一条诫命教导你什么？","What does the first commandment teach you?","敬拜真神，单单敬拜他。","To worship the true God, and him alone.","",""
"first_catechism_q082","82","","第二条诫命是什么？","What is the second commandment?","“不可为自己雕刻偶像，也不可作什么形像彷佛上天，下地，和地底下，水中的百物。不可跪拜那些像，也不可事奉它，因为我耶和华你的神是忌邪的神。恨我的，我必追讨他的罪，自父及子，直到三四代，爱我，守我诫命的，我必向他们发慈爱，直到千代。”","“You shall not make for yourself any carved image, or any likeness of anything that is in heaven above, or that is in the earth beneath, or that is in the water under the earth; you shall not bow down to them nor serve them. For I, the Lord your God, am a jealous God, visiting the iniquity of the fathers on the children to the third and fourth generation of those who hate me, but showing mercy to thousands, to those who love me and keep my commandments.”","",""
"first_catechism_q083","83","","第二条诫命教导你什么？","What does the second commandment teach you?","只按照神命令的方式敬拜他，不可敬拜塑像和肖像。","To worship God only as he commands – without any statues or pictures.","",""
"first_catechism_q084","84","","第三条诫命是什么？","What is the third commandment?","“不可妄称耶和华你神的名，因为妄称耶和华名的，耶和华必不以他为无罪。”","“You shall not take the name of the Lord your God in vain, for the Lord will not hold him guiltless who takes his name in vain.” (NKJV)","",""
"first_catechism_q085","85","","第三条诫命教导你什么？","What does the third commandment teach you?","对神的名要恭敬，特别是在持守誓约上。","To reverence God’s name, especially in keeping my vows.","",""
"first_catechism_q086","86","","第四条诫命是什么？","What is the fourth commandment?","“当记念安息日，守为圣日。六日要劳碌作你一切的工，但第七日是向耶和华你神当守的安息日。这一日你和你的儿女，仆婢，牲畜，并你城里寄居的客旅，无论何工都不可作，因为六日之内，耶和华造天，地，海，和其中的万物，第七日便安息，所以耶和华赐福与安息日，定为圣日。”","“Remember the Sabbath day by keeping it holy. Six days you shall labor and do all your work, but the seventh day is a Sabbath to the Lord your God. On it you shall not do any work, neither you, nor your son nor daughter, nor your manservant or maidservant, nor your animals, nor the alien within your gates. For in six days the Lord made the havens and the earth, the sea, and all that is in them, but he rested on the seventh day. Therefore the Lord blessed the Sabbath day and made it holy.","",""
"first_catechism_q087","87","","第四条诫命教导你什么？","What does the fourth commandment teach you?","工作六天和守圣日。","To work six days and to keep a holy Sabbath.","",""
"first_catechism_q088","88","","一个星期中的那一天是基督徒的圣日？","What day of the week is the Christian Sabbath?","每周的第一天，就是主日。","The first day of the week, which is the Lord’s Day.","",""
"first_catechism_q089","89","","为什么称为主日？","Why is it called the Lord’s Day?","因为那是主复活的日子。","Because on that day our Lord rose from the dead.","",""
"first_catechism_q090","90","","你应该怎样守主日？","How should you keep the Lord’s Day?","我应该放下每日的工作，休息并且忠实的敬拜神。","I should rest from my daily work and faithfully worship God.","",""
"first_catechism_q091","91","","第五条诫命是什么？","What is the fifth commandment?","“当孝敬父母，使你的日子在耶和华你神所赐你的地上得以长久。”","“Honor your father and your mother, so that you may live long in the land the Lord your God is giving you.","",""
"first_catechism_q092","92","","第五条诫命教导你什么？","What does the fifth commandment teach you?","爱和顺服我的父母和所有受神委任来教导和管教我的人。","To love and obey my parents and all others that God appoints to teach and govern me.","",""
"first_catechism_q093","93","","第六条诫命是什么？","What is the sixth commandment?","“不可杀人。”","“You shall not murder.”","",""
"first_catechism_q094","94","","第六条诫命教导你什么？","What does the sixth commandment teach you?","不可以非法的夺取任何人的生命。","Not to take anyone’s life unjustly.","",""
"first_catechism_q095","95","","第七条诫命是什么？","What is the seventh commandment?","“不可奸淫。”","“You shall not commit adultery.”","",""
"first_catechism_q096","96","","第七条诫命教导你什么？","What does the seventh commandment teach you?","不可以与在圣洁的婚姻之外的任何人有性关系。","Not to have sex with anyone outside the bonds of holy marriage.","",""
"first_catechism_q097","97","","第八条诫命是什么？","What is the eighth commandment?","“不可偷盗。”","“You shall not steal.”","",""
"first_catechism_q098","98","","第八条诫命教导你什么？","What does the eighth commandment teach you?","不拿别人的任何东西。","Not to take anything owned by another person.","",""
"first_catechism_q099","99","","第九条诫命是什么？","What is the ninth commandment?","“不可作假见证陷害人。”","“You shall not give false testimony against your neighbor.”","",""
"first_catechism_q100","100","","第九条诫命教导你什么？","What does the ninth commandment teach you?","任何时间都讲真话。","To tell the truth at all times.","",""
"first_catechism_q101","101","","第十条诫命是什么？","What is the tenth commandment?","“不可贪恋人的房屋，也不可贪恋人的妻子，仆婢，牛驴，并他一切所有的。”","“You shall not covet your neighbor’s house. You shall not covet your neighbor’s wife, or his manservant or maidservant, his ox or donkey, or anything that belongs to your neighbor.”","",""
"first_catechism_q102","102","","第十条诫命教导你什么？","What does the tenth commandment teach you?","不论神赐我的什么样境况都应该知足。","To be content with whatever God chooses to give me.","",""
"first_catechism_q103","103","","你能完全遵守十诫吗？","Can you keep the Ten Commandments perfectly?","不能--从亚当堕落后，耶稣是唯一没有违反十诫的人。","No – since the fall of Adam, the only one who has been able to do this is Jesus.","",""
"first_catechism_q104","104","","那么，十诫对你有什么用呢？","Of what use are the Ten Commandments to you?","它教导我什么是神所喜悦的，并让我知道我多么需要救主。","They teach me what is pleasing to God, and how much I need a savior.","",""
"first_catechism_q105","105","","什么是祷告？","What is prayer?","祷告是向神祈求神在圣经中已经应许了的。并为那些他已经给的献上感谢。","Prayer is asking God for the things he has promised in the Bible – and giving thanks for what he has given.","",""
"first_catechism_q106","106","","我们奉谁的名祷告？","In whose name are we to pray?","只奉基督的名。","In the name of Christ only.","",""
"first_catechism_q107","107","","为教导我们祷告，基督给了我们什么？","What did Christ give us to teach us about prayer?","主祷文。","The Lord’s Prayer.","",""
"first_catechism_q108","108","","主祷文是什么？","What is the Lord’s Prayer?","“我们在天上的父，愿人都尊你的名为圣。愿你的国降临，愿你的旨意行在地上，如同行在天上。我们日用的饮食，今日赐给我们。免我们的债，如同我们免了人的债。不叫我们遇见试探，救我们脱离凶恶，因为国度，权柄，荣耀，全是你的，直到永远，阿们。”","“Our father in heaven, hallowed be your name, your kingdom come, your will be done on earth as it is in heaven. Give us today our daily bread. Forgive us our debts, as we also have forgiven our debtors. And lead us not into temptation, but deliver us from the evil one. For yours is the kingdom and the power and the glory forever. Amen.”","",""
"first_catechism_q109","109","","在主祷文中我们为几样事情祷告？","How many things do we pray for in the Lord’s Prayer?","六样。","Six.","",""
"first_catechism_q110","110","","我们首先为那样事祷告？","What do we pray first?","“愿人都尊你的名为圣”。","“Hallowed be your name.”","",""
"first_catechism_q111","111","","祷告“愿人都尊你的名为圣”是什么意思？","What does it mean to pray, “Hollowed be your name”?","我们祈求神使我们及所有受造物能够荣耀神的名。","We are asking God to enable us and all creation to honor his name.","",""
"first_catechism_q112","112","","我们其次为那样事祷告？","What do we pray second?","“愿你的国降临”。","“Your kingdom come.”","",""
"first_catechism_q113","113","","祷告“愿你的国降临”是什么意思？","What does it mean to pray, “Your kingdom come”?","我们祈求神带领更多的人相信并顺从他的福音。","We are asking God to bring more and more people to believe and obey his gospel.","",""
"first_catechism_q114","114","","第三我们为什么事祷告？","What do we pray third?","“愿你的旨意行在地上，如同行在天上”。","“Your will be done on earth as it is in heaven.”","",""
"first_catechism_q115","115","","祷告“愿你的旨意行在地上，如同行在天上”是什么意思？","What does it mean to pray, “Your will be done on earth as it is in heaven”?","我们祈求神使我们能够服事神，并愿意服事神，就象天使在天上服事神那样。","We are asking God to make us able and willing to serve him as the angels do in heaven.","",""
"first_catechism_q116","116","","第四我们为什么事祷告？","What do we pray fourth?","“我们日用的饮食，今日赐给我们”。","“Give us today our daily bread.”","",""
"first_catechism_q117","117","","祷告“我们日用的饮食，今日赐给我们”是什么意思？","What does it mean to pray, “Give us this day our daily bread”?","我们祈求神赐给我们所有我们需要的。","We are asking God to provide us with all that we really need.","",""
"first_catechism_q118","118","","第五我们为什么事祷告？","What do we pray fifth?","“免我们的债，如同我们免了人的债”。","“Forgive us our debts, as we also have forgiven our debtors.”","",""
"first_catechism_q119","119","","祷告“免我们的债，如同我们免了人的债”是什么意思？","What does it mean to pray, “Forgive us our debts, as we also have forgiven our debtors”?","我们祈求神因着基督的缘故赦免我们的罪，并帮助我们愿意赦免别人。","We are asking God to forgive our sins for Christ’s sake, and to make us willing to forgive others.","",""
"first_catechism_q120","120","","第六我们为什么事祷告？","What do we pray sixth?","“不叫我们遇见试探，救我们脱离凶恶”。","“And lead us not in to temptation, but deliver us from the evil one.”","",""
"first_catechism_q121","121","","祷告“不叫我们遇见试探，救我们脱离凶恶”是什么意思？","What does it mean to pray, “And lead us not into temptation, but deliver us from the evil one?”","我们祈求神保护我们不被试探引诱；或使我们足够强壮，在试探来临的时候能够抵挡的住。","We are asking God to keep us from being tempted, or to make us strong enough to resist if we are tempted.","",""
"first_catechism_q122","122","","圣礼有几项？","How many sacraments are there?","两项。","Two.","",""
"first_catechism_q123","123","","是那两项？","What are they called?","洗礼和主餐。","Baptism and the Lord’s Supper.","",""
"first_catechism_q124","124","","圣礼是谁设定的？","Who appointed these sacraments?","是主耶稣基督。","The Lord Jesus Christ.","",""
"first_catechism_q125","125","","为什么基督设立圣礼？","Why did Christ appoint these sacraments?","为了使我们与世人不同，也为了给我们安慰和力量。","To mark us off from the world, and to give us comfort and strength.","",""
"first_catechism_q126","126","","洗礼使用什么为记号？","What sign is used in baptism?","用水洁凈。","Washing with water.","",""
"first_catechism_q127","127","","水洗代表什么？","What does this washing with water represent?","透过用耶稣的血的洁凈，我们与耶稣合一。","Union with Christ by cleansing through his blood.","",""
"first_catechism_q128","128","","奉谁的名受洗？","In whose name are you baptized?","奉父、子、圣灵的名。","In the name of the Father, and of the Son, and of the Holy Spirit.","",""
"first_catechism_q129","129","","谁应该受洗？","Who are to be baptized?","相信了的人和他们的子女。","Believers and their children.","",""
"first_catechism_q130","130","","为什么我们有些在甚至还是婴儿时就受洗？","Why are we baptized even as little infants?","因为我们的洗礼包括了遵守神给亚伯拉罕的命令。","Because God’s command to Abraham is obeyed in our baptism.","",""
"first_catechism_q131","131","","关于小孩子，耶稣说过什么？","What did Jesus say about little children?","“让小孩子到我这里来，不要禁止他们。因为在天国的，正是这样的人。”","“Let the little children come to me, and do not hinder them, for the kingdom of heaven belongs to such as these.”","",""
"first_catechism_q132","132","","你的洗礼要求你成为什么人？","What does your baptism call you to be?","成为真正的追随基督的人。","A true follower of Christ.","",""
"first_catechism_q133","133","","主餐使用什么为记号？","What sign is used in the Lord’s Supper?","吃饼和喝葡萄酒来纪念耶稣的受苦和受死。","Eating bread and drinking wine in remembrance of the suffering and death of Jesus.","",""
"first_catechism_q134","134","","饼代表什么？","What does the bread represent?","基督的身体为我们的罪献上。","Christ’s body sacrificed for our sins.","",""
"first_catechism_q135","135","","葡萄酒代表什么？","What does the wine represent?","基督的血为我们的罪流出。","Christ’s blood shed for our sins.","",""
"first_catechism_q136","136","","谁可以领受主餐？","Who may rightly partake of the Lord’s Supper?","那些悔改、相信基督、有新生命的人。","Those who repent of their sins, believe in Christ and live a new life.","",""
"first_catechism_q137","137","","基督是否留在坟墓中？","Did Christ remain in the tomb after he was buried?","不--在被埋葬之后第三天他就从坟墓中出来了。","No – he came back out of his tomb on the third day.","",""
"first_catechism_q138","138","","耶稣现在在哪里？","Where is Jesus now?","在父神的右边，为我们祈祷。","At the right hand of the Father, praying for us.","",""
"first_catechism_q139","139","","主耶稣会再来吗？","Will the Lord Jesus come again?","是的！在末日他要再来，审判世界。","Yes! He will return to judge the world on the last day.","",""
"first_catechism_q140","140","","我们死的时候将会有什么事发生？","What will happen to us when we die?","我们的身体回归尘土，我们的灵魂回到神那里。","Our bodies will return to dust, while our spirits return to God.","",""
"first_catechism_q141","141","","所有的死人都将复活吗？","Will the bodies of all the dead be raised again?","是的--一些复活承受永生，另一些复活承受永死。","Yes – some will be raised to everlasting life and others to everlasting death.","",""
"first_catechism_q142","142","","在末日神将怎样处置不信的人？","What will God do to the unbelievers on the last day?","他们将与撒旦和撒旦的天使们一起被扔进火湖。","He will cast them into the lake of fire, along with Satan and his angels.","",""
"first_catechism_q143","143","","火湖将是什么样的地方？","What will the lake of fire be like?","那将是一个可怕的地方，在那里，没有得救的人将因他们的罪永远受苦。","It will be an awful place, where the lost will suffer for their sins forever.","",""
"first_catechism_q144","144","","在末日神将为相信了的人做什么？","What will God do for believers on the last day?","他将给他们一个在新天新地里的家。","He will give them a home in the new heaven and the new earth.","",""
"first_catechism_q145","145","","新天新地将是什么样的地方？","What will the new heaven and the new earth be like?","那将是一个荣耀和快乐的地方，在那里，得救了的人将永远与耶稣在一起。","It will be a glorious and happy place, where the saved will be with Jesus forever.","",""
